01 	    99.0525
02 	    114.639
03 	    119.239
04 	    121.263
05 	    122.341
06 	    121.863
07 	    118.047
08 	    128.554
09 	    131.179
10 	    130.386
11 	    138.202
12 	    126.005
13 	    137.172
14 	     126.37
15 	     148.13
16 	    134.025
17 	    134.583
18 	    141.168
19 	    136.884
20 	    134.369
21 	    145.772
22 	    144.431
23 	    142.346
24 	    136.077
25 	    148.823
26 	    145.224
27 	    154.883
28 	    141.086
29 	    136.525
30 	    157.534
31 	    164.512
32 	    158.085
33 	    175.771
34 	    172.563
35 	    163.017
36 	    169.788
37 	     165.66
38 	    170.327
39 	    170.761
40 	    165.772
41 	    195.379
42 	    176.958
43 	    189.689
44 	    182.079
45 	    195.399
46 	    168.092
47 	    176.351
48 	    189.778
49 	    187.059
50 	     181.03
51 	    194.061
52 	    197.171
53 	    199.214
54 	    201.877
55 	    201.297
56 	    193.101
57 	    211.154
